300000467,11,"HIGH"
300000468,53,"LOW"
300000469,25,"LOW"
300000470,47,"LOW"
300000471,25,"LOW"
300000472,25,"LOW"
300000473,25,"LOW"
300000474,129,"HIGH"
300000475,129,"HIGH"
300000476,11,"LOW"
300000477,25,"LOW"
300000478,129,"HIGH"
300000479,25,"LOW"
300000480,129,"HIGH"
300000481,14,"HIGH"
300000482,129,"HIGH"
300000483,25,"LOW"
300000484,25,"LOW"
300000485,11,"LOW"
300000486,131,"HIGH"
300000487,25,"LOW"
300000488,131,"LOW"
300000489,43,"LOW"
300000490,136,"HIGH"
300000491,1,"HIGH"
300000492,1,"HIGH"
300000493,11,"LOW"
300000494,36,"LOW"
300000495,33,"HIGH"
300000496,62,"HIGH"
300000497,62,"HIGH"
300000498,25,"LOW"
300000499,10,"HIGH"
300000500,25,"LOW"
300000501,28,"LOW"
300000502,17,"LOW"
300000503,28,"LOW"
300000504,25,"LOW"
300000505,36,"LOW"
300000506,21,"HIGH"
300000507,58,"LOW"
300000508,36,"LOW"
300000509,52,"LOW"
300000510,52,"LOW"
300000510,58,"LOW"
300000511,52,"LOW"
300000512,11,"LOW"
300000513,52,"LOW"
300000514,52,"LOW"
300000515,128,"HIGH"
300000516,11,"LOW"
300000517,52,"LOW"
300000518,132,"HIGH"
300000519,131,"LOW"
300000520,21,"LOW"
300000521,131,"LOW"
300000522,129,"HIGH"
300000523,129,"HIGH"
300000524,129,"HIGH"
300000525,135,"LOW"
300000526,11,"HIGH"
300000527,52,"LOW"
300000528,11,"HIGH"
300000529,25,"LOW"
300000530,52,"LOW"
300000531,135,"HIGH"
300000532,53,"LOW"
300000533,14,"HIGH"
300000534,27,"LOW"
300000535,53,"LOW"
300000536,62,"LOW"
300000537,43,"LOW"
300000538,43,"LOW"
300000539,30,"HIGH"
300000540,25,"LOW"
300000541,22,"HIGH"
300000542,27,"LOW"
300000543,53,"LOW"
300000544,58,"LOW"
300000545,54,"LOW"
300000546,19,"HIGH"
300000547,57,"HIGH"
300000548,10,"HIGH"
300000549,11,"LOW"
300000550,11,"LOW"
300000551,137,"LOW"
300000552,43,"LOW"
300000553,129,"HIGH"
300000554,49,"LOW"
300000555,58,"LOW"
300000556,131,"LOW"
300000557,52,"LOW"
300000557,58,"LOW"
300000558,47,"HIGH"
300000559,25,"LOW"
300000560,51,"LOW"
300000561,52,"LOW"
300000562,52,"LOW"
300000563,11,"LOW"
300000564,25,"LOW"
300000565,25,"LOW"
300000566,52,"LOW"
300000567,54,"LOW"
